city_name,country,date,lat,lon,max_temp_C,cloud_cover%,humidity%
Sorong,ID,1609877909,-0.8833,131.25,26.170000000000016,100.0,84.0
Kapaa,US,1609877909,22.0752,-159.319,24.0,90.0,73.0
Hay River,CA,1609877910,60.8156,-115.7999,-17.99999999999997,75.0,77.0
Punta Arenas,CL,1609877910,-53.15,-70.9167,14.0,75.0,50.0
Hilo,US,1609877809,19.7297,-155.09,24.0,1.0,60.0
Rikitea,PF,1609877911,-23.1203,-134.9692,24.870000000000005,0.0,77.0
Qaanaaq,GL,1609877911,77.484,-69.3632,-14.419999999999959,100.0,81.0
Simões,BR,1609877911,-7.5989,-40.8178,33.910000000000025,26.0,25.0
Viedma,AR,1609877912,-40.8135,-62.9967,25.0,39.0,48.0
Bluff,NZ,1609877912,-46.6,168.3333,10.0,40.0,94.0
Vilyuysk,RU,1609877912,63.7553,121.6247,-33.70999999999998,100.0,85.0
Vaini,TO,1609877913,-21.2,-175.2,26.0,40.0,94.0
Walvis Bay,NA,1609877913,-22.9575,14.5053,21.0,100.0,83.0
Tiassalé,CI,1609877914,5.8983,-4.8283,25.03000000000003,75.0,91.0
Severo-Kuril'sk,RU,1609877914,50.6789,156.125,-9.139999999999986,75.0,84.0
San Patricio,US,1609877914,28.017,-97.5169,23.0,40.0,78.0
Lebu,CL,1609877914,-37.6167,-73.65,15.920000000000016,0.0,70.0
Yangi Marg`ilon,UZ,1609877915,40.4272,71.7189,-5.0,90.0,79.0
Cape Town,ZA,1609877294,-33.9258,18.4232,21.110000000000014,20.0,82.0
Hermanus,ZA,1609877915,-34.4187,19.2345,16.110000000000014,0.0,89.0
Butaritari,KI,1609877915,3.0707,172.7902,27.379999999999995,44.0,74.0
Ust-Nera,RU,1609877916,64.5667,143.2,-28.889999999999986,100.0,77.0
Avarua,CK,1609877916,-21.2078,-159.775,28.0,28.0,78.0
Luau,AO,1609877916,-10.7073,22.2247,18.920000000000016,100.0,96.0
Airai,TL,1609877916,-8.9266,125.4092,16.27000000000004,100.0,100.0
East London,ZA,1609877916,-33.0153,27.9116,22.340000000000032,100.0,84.0
Wuhu,CN,1609877916,31.3366,118.3755,2.0,90.0,64.0
Derzhavīnsk,KZ,1609877917,51.1,66.3167,-22.67999999999998,0.0,88.0
Nikolskoye,RU,1609877917,59.7035,30.7861,-1.0,90.0,86.0
Albany,US,1609877744,42.6001,-73.9662,1.670000000000016,96.0,79.0
Rabo de Peixe,PT,1609877917,37.8,-25.5833,13.0,75.0,93.0
Husavik,IS,1609877917,66.0449,-17.3389,0.0,40.0,92.0
Yerofey Pavlovich,RU,1609877918,53.9667,121.9667,-32.849999999999966,32.0,80.0
Timmins,CA,1609877779,48.4669,-81.3331,0.0,90.0,97.0
Mount Gambier,AU,1609877918,-37.8333,140.7667,13.0,90.0,82.0
Gigmoto,PH,1609877918,13.7796,124.39,25.840000000000032,21.0,84.0
Guerrero Negro,MX,1609877918,27.9769,-114.0611,20.920000000000016,76.0,47.0
Shahe,CN,1609877919,39.2708,113.5478,-15.939999999999998,58.0,75.0
Hobart,AU,1609877769,-42.8794,147.3294,14.439999999999998,75.0,76.0
Arraial do Cabo,BR,1609877919,-22.9661,-42.0278,30.0,20.0,74.0
Bambous Virieux,MU,1609877919,-20.3428,57.7575,25.0,40.0,83.0
Tasiilaq,GL,1609877919,65.6145,-37.6368,-7.0,40.0,52.0
Dikson,RU,1609877920,73.5069,80.5464,-9.639999999999986,100.0,97.0
Vitim,RU,1609877920,59.4511,112.5578,-30.119999999999976,100.0,81.0
Nanortalik,GL,1609877920,60.1432,-45.2371,-3.349999999999966,0.0,91.0
Russell,US,1609877921,32.3502,-85.1999,18.0,1.0,34.0
Sibolga,ID,1609877921,1.7427,98.7792,24.75,86.0,81.0
Ushuaia,AR,1609877831,-54.8,-68.3,15.0,75.0,44.0
Honolulu,US,1609877679,21.3069,-157.8583,24.0,75.0,88.0
Gaoua,BF,1609877922,10.2992,-3.2508,27.170000000000016,0.0,16.0
Cidreira,BR,1609877922,-30.1811,-50.2056,22.230000000000018,100.0,90.0
Sinnamary,GF,1609877923,5.3833,-52.95,27.390000000000043,98.0,78.0
Carnarvon,AU,1609877923,-24.8667,113.6333,25.0,81.0,69.0
Broome,US,1609877924,42.2506,-75.833,1.670000000000016,90.0,92.0
Brewster,US,1609877924,41.3973,-73.6171,3.0,90.0,69.0
Busselton,AU,1609877775,-33.65,115.3333,15.560000000000002,14.0,76.0
Neiafu,TO,1609877925,-18.65,-173.9833,26.0,75.0,94.0
Chokurdakh,RU,1609877925,70.6333,147.9167,-25.089999999999975,100.0,90.0
Bhag,PK,1609877925,29.0415,67.8239,15.520000000000039,0.0,31.0
New Norfolk,AU,1609877925,-42.7826,147.0587,15.0,93.0,71.0
Alot,IN,1609877796,23.7667,75.55,18.82000000000005,15.0,66.0
Atuona,PF,1609877926,-9.8,-139.0333,25.230000000000018,24.0,72.0
Te Anau,NZ,1609877705,-45.4167,167.7167,12.150000000000034,100.0,91.0
Esperance,AU,1609877927,-33.8667,121.9,13.0,40.0,71.0
Antofagasta,CL,1609877631,-23.65,-70.4,23.33000000000004,20.0,68.0
Vila,PT,1609877927,42.0304,-8.1588,0.5600000000000023,1.0,87.0
