city_name,country,date,lat,lon,max_temp_C,cloud_cover%,humidity%,wind_speed
George Town,MY,1609884235,5.4112,100.3354,25.0,40.0,94.0,3.1
Port Elizabeth,ZA,1609884235,-33.918,25.5701,21.0,58.0,83.0,1.5
Port-Gentil,GA,1609884235,-0.7193,8.7815,28.0,75.0,88.0,4.1
Rabaul,PG,1609884235,-4.1967,152.1721,25.110000000000014,100.0,87.0,0.51
Dingle,PH,1609884236,10.9995,122.6711,23.560000000000002,87.0,91.0,3.43
Arraial do Cabo,BR,1609884236,-22.9661,-42.0278,28.0,40.0,74.0,5.1
Faanui,PF,1609884236,-16.4833,-151.75,27.390000000000043,14.0,75.0,5.8
Lobito,AO,1609884236,-12.3481,13.5456,24.230000000000018,0.0,78.0,2.91
Albany,US,1609884133,42.6001,-73.9662,1.1100000000000136,97.0,81.0,1.3
Hermanus,ZA,1609884237,-34.4187,19.2345,15.560000000000002,2.0,91.0,0.97
Busselton,AU,1609884061,-33.65,115.3333,15.0,20.0,78.0,1.34
Zverinogolovskoye,RU,1609884238,54.4586,64.8542,-19.859999999999985,100.0,90.0,2.74
Samarai,PG,1609884238,-10.6167,150.6667,28.960000000000036,93.0,78.0,4.45
Rikitea,PF,1609884238,-23.1203,-134.9692,25.010000000000048,0.0,76.0,5.84
Ushuaia,AR,1609884239,-54.8,-68.3,14.0,75.0,50.0,6.2
Fairbanks,US,1609884239,64.8378,-147.7164,-17.779999999999973,20.0,76.0,1.0
Namatanai,PG,1609884239,-3.6667,152.4333,24.640000000000043,100.0,90.0,2.51
Puerto Ayora,EC,1609884240,-0.7393,-90.3518,28.0,0.0,58.0,5.1
Catuday,PH,1609884240,16.2923,119.8062,25.180000000000007,1.0,85.0,2.99
Saint George,US,1609884210,37.1041,-113.5841,15.0,1.0,26.0,1.5
Alofi,NU,1609884241,-19.0595,-169.9187,24.0,90.0,94.0,2.1
Qaanaaq,GL,1609884241,77.484,-69.3632,-16.389999999999986,100.0,81.0,2.94
St. George's,GD,1609884242,12.0564,-61.7485,28.0,40.0,74.0,5.1
Bluff,NZ,1609883981,-46.6,168.3333,14.830000000000041,60.0,73.0,2.5
Te Anau,NZ,1609884058,-45.4167,167.7167,13.140000000000043,100.0,93.0,0.13
