city_name,country,date,lat,lon,max_temp_C,max_temp_F,cloud_cover%,humidity%,wind_speed
Ushuaia,AR,1613566144,-54.8,-68.3,9.0,48.2,75.0,87.0,2.57
Pimentel,PE,1613566144,-6.8367,-79.9342,22.220000000000027,71.99600000000005,0.0,83.0,3.09
Atuona,PF,1613566144,-9.8,-139.0333,25.80000000000001,78.44000000000003,43.0,77.0,5.49
Rawson,AR,1613566145,-43.3002,-65.1023,19.930000000000007,67.87400000000002,0.0,52.0,5.46
Jamestown,US,1613566145,42.097,-79.2353,-12.779999999999973,8.996000000000048,90.0,92.0,2.06
Salinas,US,1613565859,36.6777,-121.6555,7.0,44.6,1.0,87.0,2.06
Hermanus,ZA,1613566146,-34.4187,19.2345,23.890000000000043,75.00200000000008,2.0,67.0,2.68
Pevek,RU,1613566146,69.7008,170.3133,-32.27999999999997,-26.10399999999995,14.0,87.0,1.68
Progreso,MX,1613566146,21.2833,-89.6667,20.0,68.0,90.0,100.0,4.12
Katobu,ID,1613566147,-4.9408,122.5276,25.230000000000018,77.41400000000004,8.0,86.0,1.85
Macomer,IT,1613566147,40.262,8.7699,13.890000000000043,57.00200000000008,75.0,71.0,5.14
Saint-Philippe,RE,1613566147,-21.3585,55.7679,27.0,80.6,59.0,78.0,2.72
Port Alfred,ZA,1613566148,-33.5906,26.891,25.0,77.0,0.0,76.0,4.02
Balikpapan,ID,1613565951,-1.2675,116.8289,24.0,75.2,40.0,100.0,1.08
Busselton,AU,1613566148,-33.65,115.3333,18.890000000000043,66.00200000000008,100.0,78.0,0.45
Sitka,US,1613565972,57.0531,-135.33,2.0,35.6,90.0,87.0,2.57
Nuuk,GL,1613566149,64.1835,-51.7216,-13.0,8.599999999999998,20.0,61.0,6.69
Coahuayana Viejo,MX,1613566149,18.7333,-103.6833,15.79000000000002,60.42200000000004,34.0,79.0,1.95
Maceió,BR,1613566149,-9.6658,-35.7353,29.0,84.2,75.0,70.0,5.66
Guerrero Negro,MX,1613566149,27.9769,-114.0611,13.800000000000011,56.84000000000002,39.0,77.0,6.65
Pisco,PE,1613566150,-13.7,-76.2167,21.0,69.80000000000001,0.0,78.0,1.54
Sibu,MY,1613566150,2.3,111.8167,25.0,77.0,20.0,94.0,1.03
Bluff,NZ,1613566150,-46.6,168.3333,9.439999999999998,48.992,58.0,88.0,1.34
Bajil,YE,1613566150,15.0584,43.2851,31.870000000000005,89.36600000000001,0.0,38.0,5.25
Butaritari,KI,1613566150,3.0707,172.7902,27.29000000000002,81.12200000000004,83.0,83.0,9.1
Varkaus,FI,1613566151,62.3153,27.873,-17.779999999999973,-0.0039999999999551505,0.0,65.0,2.06
Rome,US,1613566151,43.2128,-75.4557,-14.439999999999998,6.008000000000003,1.0,78.0,0.94
East London,ZA,1613566151,-33.0153,27.9116,25.0,77.0,0.0,57.0,9.77
Celestún,MX,1613566151,20.8667,-90.4,20.670000000000016,69.20600000000003,12.0,92.0,6.28
Beloha,MG,1613566151,-25.1667,45.05,27.010000000000048,80.61800000000008,100.0,66.0,4.6
